Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2
Bhangover,-2017.0,115 min,Comedy,5.1,34,Mahender Singh,Prerika Arora,Aradhya Taing
Bhangra Paa Le,-2020.0,131 min,"Comedy, Drama, Music",6.0,287,Sneha Taurani,Sunny Kaushal,Rukshar Dhillon
Bhanwar,-1976.0,135 min,"Drama, Romance",6.2,24,Bhappi Sonie,Ashok Kumar,Randhir Kapoor
Bhanwarey,-2017.0,120 min,Comedy,6.8,58,Shaurya Singh,Shaurya Singh,Karhan Dev
Bharat,-2019.0,150 min,"Action, Comedy, Drama",4.9,"22,598",Ali Abbas Zafar,Salman Khan,Katrina Kaif
Bharat Bhagya Vidhata,-2002.0,160 min,"Action, Adventure, Thriller",5.7,13,Ashok Tyagi,Chandrachur Singh,Flora Saini
Bharat Milap,-1942.0,170 min,"Adventure, Drama, History",6.6,9,Vijay Bhatt,Prem Adib,K.B. Athavale
Bhasmasur,-2017.0,74 min,Drama,6.8,132,Nishil Sheth,Imran Rasheed,Mittal Chouhan
Bhavani Junction,-1985.0,128 min,"Action, Crime, Thriller",5.8,48,H. Dinesh,Shashi Kapoor,Shatrughan Sinha
Bhavesh Joshi Superhero,-2018.0,154 min,"Action, Crime, Drama",7.6,"7,479",Vikramaditya Motwane,Harshvardhan Kapoor,Priyanshu Painyuli
Bhavnao Ko Samjho,-2010.0,114 min,"Action, Comedy, Drama",4.3,76,Sunil Pal,Madhu Acharya,Nitin Anand
Bhavni Bhavai,-1981.0,135 min,"Comedy, Drama",6.6,114,Ketan Mehta,Smita Patil,Naseeruddin Shah
Bhayaanak,-1998.0,105 min,Horror,4.3,6,R. Mittal,Anil Dhawan,Tina Ghai
Bhayaanak Mahal,-1988.0,113 min,Horror,3.4,8,Baby,Babu Antony,Ravi
Bhayaanak Panjaa,-2003.0,95 min,Horror,4.9,24,R. Mittal,Birbal,Shail Chaturvedi
Bheegi Palkein,-1982.0,142 min,Romance,6.4,18,Sisir Misra,Raj Babbar,Smita Patil
Bheegi Raat,-1965.0,157 min,"Comedy, Drama, Romance",6.2,40,Kalidas,Ashok Kumar,Meena Kumari
Bheja Fry,-2007.0,95 min,"Comedy, Drama",7.6,"11,444",Sagar Ballary,Vinay Pathak,Rajat Kapoor
Bheja Fry 2,-2011.0,129 min,"Comedy, Drama",4.7,"1,302",Sagar Ballary,Vinay Pathak,Kay Kay Menon
Bhikharan,-1935.0,143 min,Drama,6.2,9,Premankur Atorthy,Rattan Bai,Master Vinayak
Bhindi Baazaar,-2011.0,157 min,"Crime, Drama, Thriller",6.1,673,Ankush Bhatt,Kay Kay Menon,Prashant Narayanan
BHK Bhalla@Halla.Kom,-2016.0,122 min,Comedy,5.9,74,Rakesh Chaturvedi Om,Ujjwal Rana,Inshika Bedi
Bhobhar - The Live Ash,-2012.0,100 min,"Drama, Family, Romance",4.9,9,Gajendra Shanker Shrotriya,Vinod Acharya,Vasudev Bhatt
Bhonsle,-2018.0,128 min,Drama,7.0,"1,257",Devashish Makhija,Manoj Bajpayee,Santosh Juvekar
Bhooka Sher,-1984.0,165 min,Action,4.8,12,I.V. Sasi,Aachi Manorama,Rajinikanth
Bhooka Sher,-2001.0,109 min,Action,5.0,23,Hemant Birje,Dharmendra,Shakti Kapoor
Bhookailas,-1958.0,174 min,"Drama, Musical",7.1,143,K. Shankar,N.T. Rama Rao,Akkineni Nageshwara Rao
